0,a lion,0.37544840574264526,819,342,3050,2170
3,a lion,0.3614705502986908,710,335,3053,2165
6,a lion,0.43638065457344055,562,349,3027,2163
9,a lion,0.4473471939563751,499,346,3026,2162
12,a lion,0.44048136472702026,450,357,3009,2162
15,a lion,0.38980817794799805,444,357,2985,2160
18,a lion,0.41220858693122864,527,355,2983,2165
21,a lion,0.3817782402038574,597,352,2968,2166
24,a lion,0.3436708450317383,632,339,2967,2165
0,a lion,0.37544840574264526,819,342,3050,2170
3,a lion,0.3614705502986908,710,335,3053,2165
6,a lion,0.43638065457344055,562,349,3027,2163
